"Date","Price","Open","High","Low","Change %"
"Dec 04, 2011","1.952","1.952","1.952","1.952","-2.89%"
"Nov 27, 2011","2.010","2.010","2.010","2.010","-3.32%"
"Nov 20, 2011","2.079","2.079","2.079","2.079","12.38%"
"Nov 13, 2011","1.850","1.850","1.850","1.850","5.29%"
"Nov 06, 2011","1.757","1.757","1.757","1.757","1.80%"
"Oct 30, 2011","1.726","1.726","1.726","1.726","-17.93%"
"Oct 23, 2011","2.103","2.103","2.103","2.103","4.32%"
"Oct 16, 2011","2.016","2.016","2.016","2.016","-1.13%"
"Oct 09, 2011","2.039","2.039","2.039","2.039","10.04%"
"Oct 02, 2011","1.853","1.853","1.853","1.853","7.36%"
"Sep 25, 2011","1.726","1.726","1.726","1.726","8.55%"
"Sep 18, 2011","1.590","1.590","1.590","1.590","-6.53%"
"Sep 11, 2011","1.701","1.701","1.701","1.701","5.98%"
"Sep 04, 2011","1.605","1.605","1.605","1.605","-13.01%"
"Aug 28, 2011","1.845","1.845","1.845","1.845","-7.29%"
"Aug 21, 2011","1.990","1.990","1.990","1.990","1.27%"
"Aug 14, 2011","1.965","1.965","1.965","1.965","-10.60%"
"Aug 07, 2011","2.198","2.198","2.198","2.198","-1.70%"
"Jul 31, 2011","2.236","2.236","2.236","2.236","-8.02%"
"Jul 24, 2011","2.431","2.431","2.431","2.431","-10.10%"
"Jul 17, 2011","2.704","2.704","2.704","2.704","5.21%"
"Jul 10, 2011","2.570","2.570","2.570","2.570","-5.76%"
"Jul 03, 2011","2.727","2.727","2.727","2.727","-7.40%"
"Jun 26, 2011","2.945","2.945","2.945","2.945","8.47%"
"Jun 19, 2011","2.715","2.715","2.715","2.715","-4.67%"
"Jun 12, 2011","2.848","2.848","2.848","2.848","-0.56%"
"Jun 05, 2011","2.864","2.864","2.864","2.864","-3.24%"
"May 29, 2011","2.960","2.960","2.960","2.960","2.25%"
"May 22, 2011","2.895","2.895","2.895","2.895","-3.02%"
"May 15, 2011","2.985","2.985","2.985","2.985","-0.63%"
"May 08, 2011","3.004","3.004","3.004","3.004","-3.41%"
"May 01, 2011","3.110","3.110","3.110","3.110","-1.92%"
"Apr 24, 2011","3.171","3.171","3.171","3.171","-1.89%"
"Apr 17, 2011","3.232","3.232","3.232","3.232","-2.06%"
"Apr 10, 2011","3.300","3.300","3.300","3.300","-3.57%"
"Apr 03, 2011","3.422","3.422","3.422","3.422","3.29%"
"Mar 27, 2011","3.313","3.313","3.313","3.313","3.73%"
"Mar 20, 2011","3.194","3.194","3.194","3.194","2.63%"
"Mar 13, 2011","3.112","3.112","3.112","3.112","-0.70%"
"Mar 06, 2011","3.134","3.134","3.134","3.134","-1.85%"
"Feb 27, 2011","3.193","3.193","3.193","3.193","4.21%"
"Feb 20, 2011","3.064","3.064","3.064","3.064","-3.65%"
"Feb 13, 2011","3.180","3.180","3.180","3.180","-1.40%"
"Feb 06, 2011","3.225","3.225","3.225","3.225","0.34%"
"Jan 30, 2011","3.214","3.214","3.214","3.214","3.28%"
"Jan 23, 2011","3.112","3.112","3.112","3.112","0.45%"
"Jan 16, 2011","3.098","3.098","3.098","3.098","4.24%"
"Jan 09, 2011","2.972","2.972","2.972","2.972","5.84%"
"Jan 02, 2011","2.808","2.808","2.808","2.808","-2.60%"
"Dec 26, 2010","2.883","2.883","2.883","2.883","-1.13%"
"Dec 19, 2010","2.916","2.916","2.916","2.916","-2.15%"
